GeoName,2020:Q1,2020:Q2,2020:Q3,2020:Q4
Alabama,233524.8,211063.6,230033.7,232963.8
Alaska,53066.2,45332.2,49715.7,51165.8
Arizona,383723.3,348825.5,378535.8,383791.3
Arkansas,134410.5,121146.1,132589,134857.2
California,3098986.1,2812494.6,3046248.7,3071021.4
Colorado,395290.4,357257.1,385196.8,392594.3
Connecticut,284418.3,258045.4,278962.8,284265.2
Delaware,77067.9,71627.9,76380,78070.2
District of Columbia,146251.9,138510.9,145338.4,148117.9
Florida,1134749.2,1035634,1120033,1133725.9
Georgia,639676.7,584177.3,628821.9,637835.4
Hawaii,86009.4,77168.4,83544.2,84816.4
Idaho,86822.8,77221.3,85042,86200.2
Illinois,882624.7,801478.3,866988.9,882375.6
Indiana,386173.6,346195.5,381518.9,387458.7
Iowa,196663.4,179924.6,197094,203388.4
Kansas,179788.1,161777.6,177487.1,181514.3
Kentucky,217787.7,196392.7,216096,219882
Louisiana,245726.5,217820.8,237571.5,240630.7
Maine,70824.2,64444.5,70411.9,71406.5
Maryland,421334.2,387136.6,414207.1,420020.9
Massachusetts,597755.7,545421.7,591546.5,595183.4
Michigan,526832.8,478008.7,523910.6,531727.7
Minnesota,383114.2,348492,378201.1,385149.9
Mississippi,117321.7,104760.6,115624.6,117675.7
Missouri,337330.2,306989.2,333605.6,339543.7
Montana,53355.6,47646.3,52022.1,53011.5
Nebraska,135795.6,123141.7,134653.8,140165
Nevada,181627.4,154769.9,172206.8,175171.1
New Hampshire,90373.3,81023.5,88842.1,90245.3
New Jersey,638654.3,577107.6,624411.1,634144
New Mexico,101902.2,90750,99513.6,101722.7
New York,1751310.8,1627415.7,1742921.2,1777388.6
North Carolina,606710.2,549497.7,596444.6,606663.8
North Dakota,56611.8,49891.9,55395.6,57517.5
Ohio,696626.1,630460.7,685790.1,697367.9
Oklahoma,197204,170950.3,189727.6,194344.7
Oregon,250990.2,227090.7,247175.6,249850.9
Pennsylvania,795604.8,717797.7,780295.8,793893.3
Rhode Island,61799.2,56825.3,61273.5,62327.4
South Carolina,250492.5,227489.2,249007.8,252537.3
South Dakota,56768.1,50659.8,55134.6,56595.1
Tennessee,385084.1,335381.6,374745.9,383085.4
Texas,1840887.8,1634208.1,1794321,1832934.5
Utah,203613.9,184855.9,199793,201984.9
Vermont,34378.2,30803.8,34028.4,34529.4
Virginia,561706.1,516948.3,555057.2,564431.7
Washington,615445.4,567804.8,612596.1,621169
West Virginia,78278.1,69001.5,76981.2,79159.1
Wisconsin,346810.6,313347.5,343004.2,347693.9
Wyoming,38581.1,32691.6,36473.1,37548.1
,,,,
Legend / Footnotes:,,,,
"1/ For levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data.",,,,
"  Last updated: October 1, 2021-- new statistics for 2021:Q2; revised statistics for 2005:Q1-2021:Q1.",,,,
