state,usps_code,latitude,longitude,pop_2020,total_gdp_2020,num_high_school_grad_2017,num_sat_taker_2017,pr_2017,ebrw_2017,math_2017,total_2017,num_high_school_grad_2018,num_sat_taker_2018,pr_2018,ebrw_2018,math_2018,total_2018,num_high_school_grad_2019,num_sat_taker_2019,pr_2019,ebrw_2019,math_2019,total_2019,num_high_school_grad_avg,num_sat_taker_avg,part_rate_avg,ebrw_avg,math_avg,total_avg
Alabama,AL,32.318231,-86.902298,5024279,907586,49102,2393,0.05,593,572,1165,49844,2878,0.06,595,571,1166,48690,3240,0.07,583,560,1143,49212,2837,0.06,591,568,1158
Alaska,AK,63.588753,-154.493062,733391,199280,7770,2971,0.38,547,533,1080,7796,3334,0.43,562,544,1106,7758,3212,0.41,556,541,1097,7775,3173,0.41,555,540,1095
Arizona,AZ,34.048928,-111.093731,7151502,1494876,67909,20466,0.3,563,553,1116,68627,20188,0.29,577,572,1149,68985,21472,0.31,569,565,1134,68507,20709,0.3,570,564,1133
Arkansas,AR,35.20105,-91.831833,3011524,523003,30904,1065,0.03,614,594,1208,31126,1591,0.05,592,576,1169,31314,1790,0.06,582,559,1141,31115,1482,0.05,596,577,1173
California,CA,36.778261,-119.417932,39538223,12028751,425864,226699,0.53,531,524,1055,435365,262228,0.6,540,536,1076,431009,272892,0.63,534,531,1065,430746,253940,0.59,535,531,1066
Colorado,CO,39.550051,-105.782067,5773714,1530339,55537,5896,0.11,606,595,1201,57545,58790,1.0,519,506,1025,58611,59494,1.0,518,506,1024,57231,41394,0.72,548,536,1084
Connecticut,CT,41.603221,-73.087749,3605944,1105692,41529,43252,1.0,530,512,1041,40782,44700,1.0,535,519,1053,40056,44029,1.0,529,516,1046,40789,43994,1.0,532,516,1047
Delaware,DE,38.910832,-75.52767,989948,303146,9572,10060,1.0,503,492,996,9809,11055,1.0,505,492,998,9689,10990,1.0,499,486,985,9690,10702,1.0,503,490,993
Florida,FL,27.664827,-81.515754,21538187,4424143,177707,147058,0.83,520,497,1017,181306,176746,0.97,550,549,1099,181998,190853,1.0,516,483,999,180337,171553,0.95,529,510,1039
Georgia,GA,32.157435,-82.907123,10711908,2490512,103912,63805,0.61,535,515,1050,106727,74240,0.7,542,522,1064,108052,76340,0.71,538,519,1058,106231,71462,0.67,539,519,1058
Hawaii,HI,19.898682,-155.665857,1455271,331539,13330,7352,0.55,544,541,1085,14043,7880,0.56,480,530,1010,13702,7346,0.54,550,550,1100,13692,7526,0.55,525,541,1065
Idaho,ID,44.068202,-114.742041,1839106,335287,20164,18757,0.93,513,493,1005,20239,20484,1.0,508,493,1001,20739,20749,1.0,505,488,993,20381,19997,0.98,509,492,1000
Illinois,IL,40.633125,-89.398528,12812508,3433468,144616,12402,0.09,559,556,1115,146800,145919,0.99,513,506,1019,145526,146681,1.0,509,504,1013,145648,101668,0.7,527,522,1049
Indiana,IN,40.551217,-85.602364,6785528,1501347,72021,45622,0.63,542,532,1074,73285,48962,0.67,542,532,1074,75014,49565,0.66,543,537,1080,73440,48050,0.65,543,534,1076
