id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice,log_saleprice
109,533352170,60,RL,60.0,13517,Pave,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,3,2,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,2,Y,4,725,754,0,1479,0,0,2,1,3,1,3,6,7,0,0,Attchd,2,2,475.0,3,3,2,0,44,0,0,0,0,0,3,2010,WD ,130500,11.779128505744886
544,531379050,60,RL,43.0,11492,Pave,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,3,2,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,2,Y,4,913,1209,0,2122,1,0,2,1,4,1,3,8,7,1,3,Attchd,2,2,559.0,3,3,2,0,74,0,0,0,0,0,4,2009,WD ,220000,12.301382825334498
153,535304180,20,RL,68.0,7922,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,4,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,0,Detchd,1,1,246.0,3,3,2,0,52,0,0,0,0,0,1,2010,WD ,109000,11.59910316121128
318,916386060,60,RL,73.0,9802,Pave,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,2,Y,4,744,700,0,1444,0,0,2,1,3,1,2,7,7,0,0,BuiltIn,3,2,400.0,3,3,2,100,0,0,0,0,0,0,4,2010,WD ,174000,12.066810578196666
255,906425045,50,RL,82.0,14235,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,2,2,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,2,Y,4,831,614,0,1445,0,0,2,0,3,1,2,6,7,0,0,Detchd,1,2,484.0,3,3,0,0,59,0,0,0,0,0,3,2010,WD ,138500,11.83862560460953
138,535126040,20,RL,137.0,16492,Pave,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,3,2,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,2,Y,4,1888,0,0,1888,0,0,2,1,2,1,3,6,4,1,4,Attchd,3,2,578.0,3,3,2,0,0,0,0,0,0,0,6,2010,WD ,190000,12.154779351142624
2827,908186070,180,RM,35.0,3675,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,2,Y,4,1072,0,0,1072,1,0,2,0,2,1,2,5,7,0,0,Basment,3,2,525.0,3,3,2,0,44,0,0,0,0,0,6,2006,New,140000,11.84939770159144
145,535154050,20,RL,60.0,12160,Pave,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,2,2,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,Y,4,1188,0,0,1188,1,0,1,0,3,1,2,6,7,0,0,Attchd,2,2,531.0,3,3,2,0,0,0,0,0,0,0,5,2010,COD,142000,11.863582336583399
1942,535353130,20,RL,60.0,15783,Pave,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,2,Y,4,924,0,0,924,0,0,1,0,2,1,2,6,7,0,0,Detchd,1,1,420.0,3,3,2,0,324,0,0,0,0,400,6,2007,WD ,112500,11.630708500626612
1956,535426130,60,RL,70.0,11606,Pave,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,2,2,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,2,Y,4,1040,1040,0,2080,0,1,1,2,5,1,1,9,7,2,3,Attchd,1,2,504.0,3,3,2,335,0,0,0,0,0,0,9,2007,WD ,135000,11.813030057420567
1044,527451290,160,RM,21.0,1680,Pave,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,2,2,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,2,Y,4,483,504,0,987,0,0,1,1,2,1,2,4,7,0,0,Detchd,1,1,264.0,3,3,2,0,0,0,0,0,0,0,7,2008,COD,85400,11.355101379776661
