id,pid,saleprice,log_saleprice,neighborhood,overall_qual,ms_zoning,ms_subclass_60_house_style_2Story,lot_area,lot_shape,lot_frontage,paved_drive,gr_liv_area,totrms_abvgrd,kitchen_qual,fireplaces,fireplace_qu,abv_grd_sf,total_bath,below_grd_sf,overall_bsmt_score,exter_qual,total_outdoor_area,garage_cars,overall_garage_score,foundation_PConc,garage_type_Attchd,garage_type_Detchd,roof_style_Hip,exterior_1st_VinylSd,mas_vnr_type_None,age,electrical,sale_type_New
109,533352170,130500,11.779128505744886,2,6,3,1,13517,2,60.0,2,1479,6,3,0,0,1479,3,1258.0,10,3,808.0,2,8,0,1,0,0,0,0,5,4,0
544,531379050,220000,12.301382825334498,2,7,3,1,11492,2,43.0,2,2122,8,3,1,3,2122,4,1550.0,11,3,765.0,2,8,1,1,0,0,1,0,12,4,0
153,535304180,109000,11.59910316121128,2,5,3,0,7922,3,68.0,2,1057,5,3,0,0,1057,2,1788.0,10,2,298.0,1,7,0,0,1,0,1,1,3,4,0
318,916386060,174000,12.066810578196666,4,5,3,1,9802,3,73.0,2,1444,7,2,0,0,1444,3,384.0,6,2,500.0,2,9,1,0,0,0,1,1,3,4,0
255,906425045,138500,11.83862560460953,2,6,3,0,14235,2,82.0,0,1445,6,2,0,0,1445,2,676.0,4,2,543.0,2,7,1,0,1,0,0,1,17,4,0
138,535126040,190000,12.154779351142624,2,6,3,0,16492,2,137.0,2,1888,6,3,1,4,1888,3,1764.0,9,3,578.0,2,9,0,1,0,0,0,1,8,4,0
2827,908186070,140000,11.84939770159144,1,6,2,0,3675,3,35.0,2,1072,5,2,0,0,1072,3,1094.0,14,2,651.0,2,9,1,0,0,0,1,0,0,4,1
145,535154050,142000,11.8635823365834,2,5,3,0,12160,2,60.0,2,1188,6,2,0,0,1188,2,2188.0,7,2,711.0,2,8,0,1,0,1,0,0,51,4,0
1942,535353130,112500,11.630708500626612,1,5,3,0,15783,3,60.0,2,924,6,2,0,0,924,1,1216.0,7,2,744.0,1,7,0,0,1,0,0,1,55,4,0
1956,535426130,135000,11.813030057420567,2,5,3,1,11606,2,70.0,2,2080,9,1,2,3,2080,4,1690.0,10,2,1031.0,2,7,1,1,0,0,0,0,38,4,0
