date,station,tavg,dewpoint,preciptotal,sealevel,avgspeed,dayofmonth,month,year,humidity,date_station
2007-05-10,1,62.05,45.2,0.013,30.048,9.89,5.5,5.0,2007.0,0.5524407836836537,2007-05-10_1
2007-05-11,1,61.45,44.3,0.013,30.07,10.26,6.5,5.0,2007.0,0.5454719335882547,2007-05-11_1
2007-05-12,1,61.9,43.7,0.013,30.081,10.21,7.5,5.0,2007.0,0.5215885394767839,2007-05-12_1
2007-05-13,1,61.9,43.0,0.013,30.093,9.83,8.5,5.0,2007.0,0.5083400209605575,2007-05-13_1
2007-05-14,1,63.45,43.6,0.013,30.085,10.48,9.5,5.0,2007.0,0.4939159657316021,2007-05-14_1
2007-05-15,1,64.35,45.4,0.051,30.059,10.510000000000002,10.5,5.0,2007.0,0.513521807493808,2007-05-15_1
2007-05-16,1,64.0,46.7,0.065,30.033,10.23,11.5,5.0,2007.0,0.5437071903906664,2007-05-16_1
2007-05-17,1,62.75,45.8,0.065,30.048,10.31,12.5,5.0,2007.0,0.5477018453606958,2007-05-17_1
2007-05-18,1,61.6,43.0,0.065,30.07,10.48,13.5,5.0,2007.0,0.513545582089274,2007-05-18_1
2007-05-19,1,61.5,41.0,0.052,30.084,11.0,14.5,5.0,2007.0,0.477626008575938,2007-05-19_1
2007-05-20,1,60.1,39.8,0.059,30.103,11.66,15.5,5.0,2007.0,0.4796693619436213,2007-05-20_1
2007-05-21,1,60.25,40.6,0.059,30.105,11.19,16.5,5.0,2007.0,0.4939707819645036,2007-05-21_1
2007-05-22,1,61.85,41.6,0.059,30.091,10.92,17.5,5.0,2007.0,0.4861436460108391,2007-05-22_1
2007-05-23,1,63.7,43.2,0.059,30.077000000000005,11.29,18.5,5.0,2007.0,0.4851191025949131,2007-05-23_1
2007-05-24,1,63.95,43.9,0.061,30.091,11.29,19.5,5.0,2007.0,0.4927353595715811,2007-05-24_1
2007-05-25,1,63.4,42.7,0.023,30.131,10.94,20.5,5.0,2007.0,0.4782439566563629,2007-05-25_1
2007-05-26,1,63.6,43.9,0.11,30.139,10.44,21.5,5.0,2007.0,0.5073709939983767,2007-05-26_1
2007-05-27,1,64.95,45.4,0.114,30.118,10.26,22.5,5.0,2007.0,0.5122603306012873,2007-05-27_1
2007-05-28,1,65.75,47.1,0.114,30.108,10.04,23.5,5.0,2007.0,0.529062423963256,2007-05-28_1
2007-05-29,1,66.35,49.0,0.114,30.111,9.55,24.5,5.0,2007.0,0.5519026209419138,2007-05-29_1
